> -L"001a"
> -L"030b"
-8.424467	-4.39317
-8.419439	-4.512354
-8.377596	-4.694441
-8.240561	-4.823591
-8.167227	-4.967288
-8.071146	-4.976525
-7.957144	-5.044053
-7.848441	-5.224227
-7.636915	-5.287226
-7.586184	-5.177514
-7.510964	-5.115678
-7.40145	-5.202004
-7.339648	-5.120934
-7.25268	-5.10987
-7.148681	-5.210811
-7.029049	-5.089653
-6.923116	-5.083103
-6.772449	-4.999337
-6.63824	-4.825683
-6.518309	-4.821606
> -L"031a"
-13.555007	-8.315919
-13.736228	-8.200479
-13.940475	-8.209357
-14.100827	-8.188858
-14.320487	-8.265518
-14.486654	-8.380442
-14.646429	-8.618302
-14.772063	-8.898597
-14.755646	-9.044381
> -L"031b"
-13.095937	-8.080696
-12.939581	-7.934066
-12.913872	-7.808629
-12.674423	-7.813088
-12.519192	-7.871012
-12.493608	-7.745547
-12.382713	-7.731961
-12.292726	-7.835889
-12.126659	-7.840477
-12.013832	-7.947824
-11.918462	-8.090417
-11.852614	-8.214322
-11.74864	-8.266983
> -L"032a"
-19.155839	-10.063937
-19.08493	-9.979084
-19.001005	-9.93894
-18.890968	-10.027625
-18.778584	-9.969993
-18.740905	-9.840369
-18.58867	-9.723542
-18.449602	-9.62107
-18.347221	-9.711112
-18.085036	-9.702265
-17.999973	-9.590648
-17.922594	-9.500255
-17.784493	-9.433155
-17.585232	-9.507508
-17.49036	-9.405591
-17.318278	-9.406389
> -L"032b"
-9.592574	-7.674633
-9.412002	-7.554798
-9.322545	-7.599121
-9.158317	-7.52548
-9.008987	-7.424276
-8.873134	-7.559026
-8.730127	-7.504065
-8.632974	-7.361251
-8.528068	-7.264357
-8.415036	-7.336819
-8.369798	-7.421941
-8.270343	-7.472215
-8.137566	-7.495196
-8.044887	-7.599652
-7.92307	-7.51626
-7.793336	-7.562315
-7.66727	-7.508191
-7.512923	-7.576085
> -L"033a"
-21.535146	-9.688287
-21.710737	-9.654347
-21.890323	-9.687718
-22.051566	-9.728701
-22.210778	-9.691477
-22.384685	-9.784605
-22.601885	-9.857799
-22.722282	-9.996427
-22.725256	-10.130214
-22.879131	-10.091674
-22.998423	-9.996822
-23.122367	-9.997144
-23.228255	-10.094053
-23.43596	-10.159358
-23.579743	-10.235214
-23.729592	-10.399397
-23.921726	-10.734871
-23.977044	-11.016606
> -L"033b"
-6.031235	-6.867935
-5.834465	-6.792972
-5.623618	-6.776308
-5.432131	-6.679957
-5.238866	-6.684165
-5.020189	-6.676572
-4.874517	-6.624677
-4.728831	-6.758089
-4.526893	-6.866668
-4.430145	-6.96128
-4.244317	-6.888263
-4.005501	-6.869746
-3.835046	-6.918293
-3.692779	-7.012987
-3.540638	-7.307602
> -L"034a"
-13.816563	-9.488645
-13.989686	-9.504396
-14.158607	-9.563917
-14.424577	-9.593489
-14.803449	-9.685524
-15.003673	-9.716168
-15.180733	-9.737049
-15.259642	-9.623855
-15.418211	-9.660752
-15.606567	-9.773046
-15.769027	-9.84032
-15.841745	-9.805211
-15.940368	-9.864601
-16.023424	-9.975453
-16.118224	-10.053866
-16.363386	-10.078899
-16.52515	-10.184076
-16.494044	-10.336717
-16.671546	-10.456042
-16.862674	-10.409249
-17.028742	-10.536026
-17.233776	-10.64549
-17.342229	-10.5079
-17.467667	-10.586831
-17.63747	-10.545371
-17.845646	-10.640141
-18.032515	-10.715786
-18.139849	-10.607521
-18.306538	-10.530433
-18.467509	-10.481917
-18.638494	-10.484791
-18.773253	-10.432509
> -L"034b"
-12.856601	-9.398889
-12.783219	-9.249029
-12.657508	-9.179315
-12.509925	-9.109291
-12.38108	-9.095227
-12.261373	-9.221954
-12.159458	-9.083247
-12.031517	-9.004113
-11.874608	-8.951843
-11.644608	-8.882956
-11.560779	-8.965
-11.314889	-8.782237
-11.152661	-8.860464
-10.997595	-8.80549
-10.907954	-8.873128
-10.771529	-8.813366
-10.554281	-8.733687
-10.267751	-8.702824
-10.149996	-8.808496
-9.943343	-8.763628
-9.775408	-8.827217
-9.656329	-8.922126
-9.504895	-8.958137
-9.300412	-8.903033
-9.217437	-8.836482
-9.205199	-8.750893
-9.057117	-8.66309
