number,l1_t,l1_s,model_height,lon,lat
mh376,119.12199,6.6575284,800,-177.6373537010159,48.70428100014407
mh377,84.131035,5.8079643,500,-175.2398922082825,48.3242350389538
mh378,111.15518,6.3052297,900,-175.12493766101,46.92662042066939
mh379,125.16278,7.0255566,1000,-175.1536166064019,47.1498835312205
mh380,207.84705,10.000158,1100,-174.9907317012292,49.66545750948267
mh381,159.26874,6.8691335,1200,-175.4014453852541,49.27611062815228
mh382,70.59652,5.231538,800,-168.1450561026595,47.74839183080799
mh383,151.68814,5.2033014,1200,-168.8730649205486,48.33203561147936
mh384,156.07333,5.4314227,1000,-168.0840409732907,45.45953578718476
mh385,181.28947,5.4086995,1200,-169.1644392171106,44.07450909164144
mh386,243.76282,9.49756,1200,-170.6828537745185,43.53205896507225
mh387,181.08713,9.336814,800,-170.0464292816657,43.83274723230881
mh388,183.44135,14.029376,800,-169.8472953298701,43.86150767293297
mh389,152.4291,7.462803,1000,-169.7329051240933,43.85465432975658
mh390,150.13171,7.562637,1000,-169.5378064955077,43.8927895376212
mh391,192.06438,8.5862875,1000,-169.5658192056955,43.31912856361432
mh392,132.56891,5.6711636,800,-171.8606291870349,43.26521120732702
mh393,125.64673,5.130587,900,-171.7688397245433,43.44448712359
mh394,299.71576,9.553027,1000,-172.7672450458488,43.45166445061614
mh395,186.5307,6.218111,1300,-171.6772384705435,43.75038499789362
mh396,70.67542,5.737243,900,-170.6421737044205,40.0906360411179
mh397,220.00177,11.078273,1100,-167.5540235606732,39.77417173781981
mh398,173.84137,9.661107,1100,-168.0010107077344,39.66029427120821
mh399,211.57997,8.972373,900,-168.365977936577,39.62456752774178
mh400,51.412483,2.7761097,600,-167.637267683052,40.9159172827503
mh401,305.1387,5.4723997,1100,-166.5861519248201,40.85285181609915
mh402,75.1482,4.917258,900,-165.8178871068086,39.46382762696877
mh403,118.77161,5.484874,1200,-164.508527250933,39.70277351216867
mh404,95.961426,3.4113603,900,-165.0146498326586,39.27385900074986
mh405,289.13232,11.061217,1100,-165.5534457646539,40.83086772491988
mh406,177.77663,7.6166873,1300,-165.5113566657451,40.68690975101381
mh407,124.156525,4.6667113,1100,-164.5974759656791,38.28721669538623
mh408,113.655624,5.1430197,1000,-162.812550470268,39.81436539493896
mh409,85.17602,3.123188,700,-162.0181217801181,40.86865216851555
mh410,58.523247,3.5136104,800,-162.5179844919134,40.50526879634246
mh411,80.60624,3.1966991,800,-163.9933520209862,39.24717283985075
mh412,109.17597,5.618387,900,-161.1002755322583,39.45280835555712
mh413,88.420654,4.406,900,-160.9336152050795,39.5296062911596
